text,star
재미도 없고 감동도 없고 시대만 역행하는 영화인것같네요개그 소재이면 안되는 것들이 너무 많이 희화화돼서 불쾌합니다,1
이 영화의 내용이 재미있다고 생각하나요?요즘 안그래도 남녀불신이 심각한데 관람 중간 더럽다는 생각에 보다가 나왔네요,1
1점도 아깝다. 이걸 코미디라고 찍었는가? 끔찍한 인간들을 비밀의 삶도 있다 하며 합리화 하고 여적여 구도를 만들질 않나 아내에게 행하는 가정폭력이 보는 내내 너무나 끔찍했다. 시대흐름을 정말 못 읽는 감독이다. 돈...,1
기분 더러워지는 영화 돈 아깝다,1
분명히 웃기고 개그적인요소들이있으나 다루는내용이불편하고 마냥웃기지많은않음 그리고 결론적으로 영화에서 무슨메세지를전하는건지모르겠음 커플들여럿싸울듯 그리고 안드로이드폰 아이폰비교할때라던지 빅스비라던지 저게 여기서왜나오지...,1
"보는내내 불편,,, 뭐가 재밌는지 1도 모르겠다 믿거,,,",1
영화 감상 후 찝찝함이 가장 크게 남았다,2
최악 대사도 저렴함불륜 성희롱 외모비하 동성애비하 최악인것들은 다 갖춤 아직도 시대의 흐름을 못읽는 최악의 영화,1
웃기지도 철학적이지도 않은 그저 기분나쁜 영화.,1
완전 노잼...불쾌한 영화였다.,1
오션스 일레븐 같은 라인업으로 느껴지는 영화! 인물들의 주고 가는 드립과 찰진 리액션들이 볼만해서 시간가는줄 몰랐어요,10
이거 보지말고 보헤미안 봐라 아씨...훨씬  돈값한다,2
별한개도 아까워요. 보고나면 기분나빠,1
움 내가 본거에 비해 평이 엄청 높네 알반가 ㅋ,2
"하나도 안웃기고,비하하면서 희화하하는 것도불편하고 심각한내용해막장 삼류영화 불쌍했음너무 현실을 담아내서보는 내내 갑갑하고암걸릴거같았어요....코미디고평점좋아서기대했는데영화후 암걸린거같아요...영화평점은 처음남겨보내요...",1
엥 관람객평점 왤케 높음...? 영화에서 환멸느끼고 평점으로 세상 환멸을 또 느끼네 평점은 왜 0점 줄 수 없는 건가요,1
기발하고 신나게 웃을 수 있고 매우 재밌다!,10
"여러분, 다들 노잼영화 노잼영화 하시죠. 이건 노잼을 넘어서 분노 유발 영화에요. 스트레스만 쌓입니다. 남자들이 문제다라는 인식을 바탕으로 만든 영화입니다.",1
이걸 영화라고 만들었네,1
알바쩌넼ㅋㅋㅋㅋ딱 수준낮은 아저씨들이나좋아할감성임 영화보자마자 아재가만들었겠네싶었음 그리고 답답하고 기분나쁜영화임 중간중간웃기기도한데 딱그뿐임..,1
비밀도 정도껏이지. 배우자 생각해서 저질러선 안 될 짓을 해놓고 사람은 누구에게나 비밀이 있다 이런 식으로 교훈 주려고 하면... 이게 참...,4
보는 내내 불편했던영화.. .결말까지 뻔한 뻔뻔한영화...일부의 비밀스런 이야기를 누구나의 일처럼 포장하려하는 과장된 못된영화 이탈리아영화  퍼펙트스트레인저스 원작을 리메이크하다보니 우리정서상 맞지않는 내용을 웃기려...,1
불쾌함이란 덩어리를 웃음이라는 포장지로 덮은 영화,4
휴 1점도 아깝다....,1
영화보고 화나고 너도 저럴거냐고 하게되고 저녁에 남친 바람피는 꿈 꾸고 계속 우울해짐 평점에 재밌다고 해서 갔지만 바람이나 남친에게 상처받았던 사람이 보면 안되는 영화인듯,1
영화 시작부터 기분 나빴음. 배우들의 연기력 덕분에 웃음 포인트가 몇 곳 있지만 전체적으로 억지스럽고 결말도 개거지 같았음. 내 인생 최악의 영화 베스트3에 뽑힘. 영화의 80%를 개정색하고 봄. 중간에 나오고 싶었...,1
이런 영화는 별 한개도 아깝네요,1
기분 나쁘고 더러운영화 도대체 뭘 말하고싶으셨던건지 역겹다그리고 난19금도영화인줄알았다 보는내내역겨움뿐 내돈주고 봐서  땅치고 후회중이다.,1
시대 흐름 존나 못읽죠~,1
평점이 왜이리 높은걸까... 배우들의 연기력으로 그나마 살린 영화인듯.. 불편한장면 뿐아니라 스토리 별로 그닥.. 비추,4
이렇게 한심한 영화는 첨이다ㅉㅉ,2
보고나서 이거 보자해서 미안하다했어요....다음 영화는 신중하게 골라야지!,1
눈치 싸움 영화라고 해도 과언이 아님 ㅋㅋ 스릴감 좋으네요 ㅋㅋ 그냥 볼만합니다. 한번 씩은 보세요,8
재밌게보았습니다ㅋㅋ,10
노잼ㅋㅋ댓글 알바들 진짜 그러지좀맙시다 ㅋㅋ,2
이거 손인분기점 이미 달성했을 듯... 제작비 1억 들었을 듯 ㅋ 3일 촬영에 ㅋㅋ,2
최악이다 쓰레기영화 보는사람 믿고 거른다,1
ㅎㄴ감성의 범벅 ㅗㅇㅇㅗ,1
영화 보는 내내 기분 나빠요,2
내가 뭘 본건가...평이 너무 좋은 게 이해가 안되네요여지껏 본 영화중에 제일 정색하고 봤습니다연기 잘하시는 배우들이라 믿고 봤는데 와..,1
이게 뭐가 신선한다는거지?불륜소재..유치함 이런 영화가 월메이드?보헤미안 랩소디를 한번 더 보겠응,1
스토리가 빻음. 이게 웃음으로 넘길 일인가.. 저질스러움,1
중간중간에 불편했어요,1
난 별로 재미없던데...ㅎ,4
재밌는 포인트를 잘 모르겠어요ㅠ,1
ㄱㅐ쓰레기같은 영화; 돈 날리지마세요,1
진심 평점에 속지마라. 웃음 포인트는 분명 있다. 하지만 영화가 주는 메시지가 없을 뿐더러 있다고 해도 저질이다. 특히 결말은 욕이 나올 정도로 성의가 없었다.,2
재밋다며?ㅡㅡ 장난하나,1
저질영화예요 재미있다는 평점과 배우님들때문에 믿고봣는데 재밋는 부분은 두군데 정도있고 감동도 교훈도 그렇다고 엄청 코믹하지도않고 진짜 별로내요 ㅋㅋㅋㅋ,1
4-50대 아재들이나 좋아할듯,1
돈주고 여혐과 동성애 혐오봄 ㅅㅂ,1
본인이 재미있다고 모두가 재미있을거라고 생각하는 것 자체가 무식하다고 생각한다. 네 개그 코드에 맞다고 모든 사람이 다 그 개그 코드에 맞다고 생각 하는 건가?,1
소재는 신선했으나 우리나라의 선비 문화는역시...,1
진심 속았다... 내 인생 2번째로 최악의 영화...,1
별 한개도 아까움 불쾌한 영화 절대 보지 마세요,1
여자로써는 보는 내내 불편했던 영화,2
평점 보고 봤다가 완전 낚였다 최고로 살면서 처음으로 평점 준다 0 점,2
어떤 맥락에서 웃어야 할지 모르겠다. 혐오를 개그로  가장시킨  보기 불편하고 찝찝한 영화..,1
"처녀 강조, 가슴부터 시작해서 서로 품평질에 불륜은 당연한 것이라 말하는 비혼 조장 영화. 성별에 따라 영화 후기가 아주 극과 극이네요. 이게 현실인가봅니다",1
블랙코미디가 아니라 그냥 블랙에 가까워요. 혐오가 가득 담긴 영화,1
대사 너무 빻았어요...,1
뻔한 이야기 뻔한 전개....,2
눈치빠른사람은 보지마셈 스포당하고 본기분임 뻔할거같아서 안볼라다 걍기대안하고 보자했는데 이왕 뻔할거면 궁금한장면을 보여주지 정작 불필요한 안궁금한 장면만 잔뜩 보여줌 축구보는데 해설 더럽게 못하는느낌그냥 가볍게 볼정...,2
"인생 최악의 영화입니다.개연성, 논리성 다 떨어지고 중간에 몇번이나 나오고 싶었지만 돈아까워서 있었는데 시간낭비 했네요. 더러운 소재로 웃기고 야하고 막장인 영화입니다. 57세 키티 다들 웃겨하시는데 그게 엄연한 바...",1
"웃음이라는 감정을 미끼로1. 동성애 감성팔이 2. 남자는 다 문제, 여자는 한명빼곤 문제없다는 페미니즘적 사고 3. 정상적인 연인 또는 부부의 믿음에 불신 조장 4. 불륜과 비밀스러운 동기부여를 통한 결혼에 대한 불...",1
최고의 배우들과 최고의 연기!!!! 우리나라에서 쉽게 접하지 못했던 영화였어요~내 모든것을 공유하는 핸드폰!! 요게 참 무서운 놈으라는 생각을 다시한번 했어요 ㅎㅎㅎ두번 세번 봐도 아깝지 않은영화!!!특히 조진웅씨 ...,10
알바들 왜케 풀었냐 ! 정말,1
보는내내 불쾌하다 사랑과전쟁2 보는느낌,1
재미하나도 없던데 내가 이상한건가?,1
와 평점리뷰 보통 안 쓰는데 이영화 진짜 최악1점도 아까움,1
나만 그렇게생각해..?,1
여혐에 동성애 조롱하는 느낌에비혼다짐하게 하는 영화 그나마 조진웅이 딸한테 하는 말이랑 마지막에게이친구의 대사만이 와닿음. 니네눈빛에 상처받을거라고.캐릭터들이 다채롭게 별로...^^40년지기 친구라하는데 얄팍하고도 ...,1
영화내에서 웃긴부분은 있지만 그렇게 재밌는영화는 아닌것 같네요. 영화 내 남자주인공들은 그냥 쓰레기아닌가요,1
진짜재미없음 기대하면안됨,2
별하나도 아까움/ 알바 쓰나 왜 평점이 좋지.ㅋㅋㅋㅋ 이해 1도 안됨 남의 가정사 파탄나는걸 내가 왜 보고있나. 결국은 다 허상이였다는 어이없는결론 시간낭비,1
다 좋은데 이태리 영화 리메이크 한거 숨기고 제발 한국 영화인척 하지마라 프랑스등 6개국에서 리메이크 하고 연극으로도 만들어질 만큼 원작이 탄탄한 덕을 본 영화를 와 창작 영화인척 하는거야??,2
비밀스러운 삶은 덮는게 낫다? 하고 싶은 이야기가 뭔지?,2
작중 캐릭터들이 거의 일베급. 코믹으로도 덮이지 않는 일베냄새..감독이 도대체 뭘 의도한 건지? 남자들 현실이 이러니 여자들아 비혼해라 이건가;; 누가봐도 저게 비정상인데 우리 다 그렇게 살잖아 하니까 내가 이상한건...,1
동성애자 혐오 여성 혐오 발언이 가득한데 그게 웃음으로 소비된다는 게 화나고 속상하네요,1
별점 1도 아깝네요. 보다 중간에 나왔습니다. 댓글 알바 적당히 좀 하시길. 혐오 끝판왕 영화였습니다! 평점 조작 오짐,1
인셉션이 생각났다 ㅋㅋ,10
"리뷰 처음 써보네요 이런 영화가 평점이 이리 높다니요가정폭력, 불륜 이런요소를 웃음거리로 만들고더러운 남자들의 세상을 누구든 비밀은 있다라는 말로 ,또 의리로 덮어버리고.진짜 최악이네요 보는 두시간 내내 불편해서 웃...",1
이게 재밌음 ? 비현실적이고 오글거리고.. ㅆ노잼..줄거리 진심 말이 되냐 ㅋㅋㅋ,1
"와 평점 왜이렇게 높은거지? 진짜 영화 보는 내내 역겹고 토쏠렸다 동성애 혐오 요소를 개그코드로 넣는게 재밌나? 관객들이 웃는 그 모든 부분에서 소름돋았다. 현실이 이렇구나 이런 영화가 이렇게 성공해서야,, 그남들의...",1
끝나고 박수치고싶었음 마무리까지 완벽함 정말로,10
소재자체는 신선했지만 (이탈리아 원작?) 메시지를 전달하기까지의 과정이 저급한.,1
왜 0점은 줄 수 없지.. 옛날 구식 혐오 발언들로 넘쳐나는 개그들.. 끔찍합니다. 도망쳐요..,1
"웃긴 장면이 있는건 사실이다 하지만 그 장면에서 웃어주고 싶지 않았다혐오를 웃음 코드로 쓰는 영화, 그 자체에 환멸이났다",1
평점알바 대박.. 알바도 작작해..,2
웃을려고 갔다가 더 우울해지는. 이 영화 왜 봤는지 정말 이해가 안가는. 스토리도 구성도 진짜 없는 그지같은 영화. 보는 내내 나갈까 말까 계속 고민했습니다.,1
창궐 피하려다...똥밟았다 2시간동안 말장난 가정파탄 말싸움뿐 교훈도없고 재미도없고 감동도없다.돈주고 보지말고 짤로보세요 시간아깝네요,1
평점이 왜 이렇게 높은 걸까... 도저히 웃을 수 없는 장면에서 웃는 사람들을 보며 씁쓸한 기분이 들었다.,1
제발 무언가 찔리는게 있으신 남성 여성 커플분들 이영화 절대로 보지 마세요 진짜 큰일납니다,10
모든 사람을 싸잡아서 비밀행동이 있다고 말하는건 좀 아닌듯,1
별점주기도아까운영화인데요? 댓글알바인가 뭔내용인지모르겠고 갑분싸입니다 진짜 추천안해요 돈아까운거 그렇다치고 너무 허무하고 이제기억도안납니다,1
집에서 딱 무료로 받아서 보면 대요,1
어디서부터 지적해야할지도 모를정도 쓰레기 영화,2
처음에 이서진이 아내 가슴 감싸쥐며 백허그 할 때부터 기분 나쁜거 참고 보는데 한마디 한마디 다 격이 떨어져서 보고나서 어이없는 웃음짓고 나왔습니다.,1
"저렴한 대사, 대상에 대한 혐오를 웃음포인트로 승화 , 혐오스럽다",1
그냥 미친 쓰레기 영화임,1
스토리나 구성이 전혀 공감되지 많는 막장 영화네요 ㅉㅉㅉ,1
제가 원래 후기 게시글 작성 잘 안하는데 이건 너무 해도해도 너무해서 남깁니다. 진짜 OO노잼입니다.,1
신선했지만 보는내내 불편한 영화,4
제목만 완벽이고 영화는...글쎄,1
시시하고 뻔함..지루함..뭘얘기하고 싶은질 모르겠음...그와중에 흐뭇한 결말은 어이긴 없을지경.그나마 박민수씨가 조금 살려줌,5
오늘 개봉인데 아침부터 댓글쓰는 사람들은 뭐죠,6
재미없었습니다 기분 불쾌해지는 영화,1
여친이랑 헤어짐ㅠㅠㅠ,1
억지 설정의 극치. 영화라는것을 감안해도 이런막장이 어딨나싶더라. 결말은 철학적인 명언으로 마무리. 억지스러운것 투성이인데 이런게 평점 구점이 넘는것보면 영화 보는 수준이 너무 개돼지같다싶기도함.. 내가 수준이 뛰어...,1
쓰레기 영화 ㅎㅎ 보면 기분 더러워짐 여혐 범벅,1
어느타이밍이 재밋어지는지 기다리다 끝낫다!,2
내가 본 영화 중 완벽한 실패인 영화,1
기대안하고봤는데 잼있네요연기잘하시는분들이라 한편의 연극같아요,10
개찝찝하게끝남 뭐가재밌지 불쾌하다,1
"양념,조미료 완전 많이 넣었는데 없는척 하는 영화.",2
기대를너무많이했나아쉽다,4
이서진 연기 왜이렇게 못해요?; 말할때마다 진짜.. 한숨밖에 안나오던데 ㅋ스토리는 말할필요도 없이 더럽고 추해요^^보는 내내 불편해 죽는 줄 알았네요 ㅋ이런게 왜 1위인지도 모르겠넹ㅋㅎ이거 재밌다는건 알바에염??ㅋㅋ...,1
저질스러운 웃음 포인트가 있다고해서 재밌는 영화라 부를 순 없다.,1
"OOO같은 영화. 유해진이 억지로 웃음캐리 하다가 개막장스토리 감당 안되니까 감독이 인셉션연출 똑같이 모든것이 꿈이었다 치트키씀. 불륜 걸리지말고 하자는 미화 극혐, 성소수자옹호 극혐, 개막장 불륜임신은 숨기고살자 ...",1
보다가 나왔음ㅋㅋ웃으려고 노력을해도 인상만 찌푸려짐,1
존나 빻음... 의식 수준 보소 보는 내내 개빡쳤습니다,1
별로 불편하게 했던영화,1
나참 이게 웃긴가?억지스런 상황 설정과 시나리오..더구나 수습도 못하고 허무한 결말까지..관람 후 나오는 순간에나도 반지를 돌려서 이 망작 안고르고그냥 드라마나 볼껄 하는 마음이 간절하던데..,2
평점이왜높은줄모르겠는데..너무평이좋아서 진심깜짝놀랐네요,2
보다가 나왔다 뭐가 이리도 복잡하고 숨기고 감추고 그러는지 너무 씁쓸한 현실에 썩소만 남기다 나온다,1
집중력 굿. 연기력 굿!!!!,10
진심 노답ㅋㅋㅋㅋ 걍 불륜영화임 감동도 교훈도x불륜걸릴뻔 하다 가까스로 안걸림 > 이걸 우스꽝스럽게 표현해서 웃음유발 이딴식이라 저질같고 뭐 어쩌자는건지...? 걍 동물의왕국 멀쩡한 사람들만 불쌍.. 안걸림 끝...,1
"여적여 코드, 불륜과 동성애를 웃음거리로 삼는 것, 불륜을 숨기는게 남자들의 의리라고 하는 것. 철학적인 면도 없고 그냥 여러모로 빻은 영화. 기분 불쾌했다.",1
별 반개도 아깝다 10점 알바아님?,1
뭐가 재미있다는 건지?평점에  속아 본 기분..,2
알바에 점령당했네ㄷㄷㄷ,6
"비밀과 비도덕을 구분하지 못하는 감독이 만든, 엄청난 메세지와 예술성을 담은 듯 포장된 쓰레기",2
"영화관 알바생입니다. 이거 볼 바엔 보헤미안 랩소디 추천 드립니다...정~~말 완벽한 한국영화...어디에서 웃어야 할지도 모르겠고, 이상한 마무리.. 저는 무료로 봤지만 상영관에서 만원주고 볼 영환 아니라고 생각합니...",1
후반에 살짝 아쉬운전개 ㅜㅜ,5
"굉장히 불편했던 영화.예고편보고 기대하고 봤는데 엄청 실망하고 기분 개떡같아짐.굉장히 신선한 주제라고 생각했는데,그게 왜 이따위로 풀어내지는건지 최악의 영화.가십거리 자극적인걸로만 짜여진 내용에 말도안되는 전개. 진...",1
"너무 별로였음. 진지하고 신중하게 다가가야하는 동성애,불륜,그리고 이혼이나 그런요소들.. 희극적이게 만들려는 요소는 좋았으나 별로 유쾌하지 않고 불쾌했던 부분이 더 많았다. 추천하지 않는다.",1
시사회로 봤는데 진짜 재미있습니다.ㅋㅋㅋ배우들 케미가 좋아요ㅋㅋㅋ,10
나는 찔릴게 하나도 없었음에도 불구하고 주제 자체가 너무 불편하고 불편했다..,1
절대 저정도 평 받을 영화아님,1
"어,,재미있었다,,참으로,,",1
시대 흐름 못 읽은 쌍팔년도 감성을 떠나 너무 재미가 없어서 시간 아까운 영화. 염정화 배우님 연기 하나 건져서 1점,1
"진심 웃질않는 편이긴 하지만... 유해진, 말고는 웃기지도않고 재미도없고 스토리도 막장이고... 1점은 불쌍하지만 현재 평점이 너무 심각해서 1점준다",1
기분나빠 친구의 남친여친은 건들지 말자 좀,1
"평점이 왜 높은지 이해할 수 없다성희롱, 동성애 등 우숩게 만들어버리면서 결론 불륜으로 합리화. 불륜아니면 소재가 없나?ㅎ돈주고보지마세요 그정도아닙미다. 덕분에 보헤미안 랩소디의 소중함 느끼고 갑니다...",1
진짜 드러운 영화 기분이 더럽고 싶으면 봐도 좋다,1
초반 지루하고 등장인물 많아 관계파악까지 한참 걸립니다. 마지막은 어이가 없네요.,1
영화티켓 살 돈으로 스타벅스 커피 3번 사먹으세요,1
불쾌하고 돈아까웠음....,1
아니 결과 뭐지 급하게 해피엔딩 ㅋㅋ 이게  반전인가 내가 졸았던건가?,1
ㅁㅊ 연인이랑 보면 진짜 의심 존나해 이거 보지마셈,2
초반은 웃었으나 뒤로갈수록 불륜.외도.동성애조롱.섹드립으로 불쾌해진다 . 내 애인혹은 배우자가 친구혹은 지인이랑 바림피는 중일지도 모르니 상쳐받기 싫으면 폰을 보지말라는 교훈을 주는 영화  결말두  파리의연인 생각났...,1
쓰레기같은 영화.. 절대 보지말것. 온갖 혐오가 범벅된 영화에 웃는사람들의 수준이 의심될 정도,1
재미없고 보고나서 찝찝하고.. 평점이 높은 이유를 모르겠어요. 난 디게 잼없던데..,1
등장인물은 믿을 수 없는 상황에 울고 있는데 관객은 웃게 만드는 기괴한 영화. 웃으면서도 부끄러웠음.,4
역겨운 영화.. 정말 이렇게 사십니까?,1
오늘 보헤미안과 완벽한 타인 둘 전부 봤다.이게 1위라는게 그저 창피할따름이다.집에서 다운받아 보시길,6
로그인해서 처음으로 평점남겨보네요 개인적으로 보고나서 되게 찜찜한 영화예요..왜 이렇게 평점이 높은건지...마냥 웃을수없는 영화인데... 전 별로였어요,1
밑에댓글다알바.. 남는거없음 중간중간 웃긴 포인트가끝 누구 의심할수잇는영화,2
찝찝함만 남네요 보지마세요,1
와.... 이렇게 저급하고 상스러운내용의 영화가 재밌다고????,1
인간의 내면과 본성? 배우자 냅두고 다른 여자 임신시키는게 인간의 내면과 본성? 그냥 지들이 저질 싸구려 인생 사는걸 모든 인간들은 조금씩 다 그렇다고 포장하려 함 찔리는 인간들 합리화하긴 딱 좋겠네ㅋㅋ영화내내 불쾌...,1
감동도 즐거움도 없었을 뿐더러 무슨 교훈을 담고 있는 건지....? 코미디라고 하더라도 결말이 찝찝하네요. 보는 내내 불편했습니다.,1
코믹영화인척 SNS에 알바 판치는거 같은데 내용 전반적으로 너무 무겁습니다. 코믹영화인줄 알고 가족끼리 보러갔는데 돈 너무 아까웠습니다.,1
뭔가 찝찝한게 그닥 기분이 좋지는 않아요,1
불쾌한영화 어처구니없는 설정,1
노잼이예요 입소문났다는거 보고 봤는데 이런낭패가..,2
양심 없는 쓰레기자식들.. 제작비용 출연료에 필름값 밖에 안나옴.. 진짜 필름값 대비 이딴영화 흥행시키면 한국영화는 퇴보될수 밖에 없음.. 내용도 그지같아서 아침 막장 3류드라마 보는것 같은 느낌이였다.. 진짜 이딴...,1
혐오로 가득 찬 영화. 노잼,1
예상 가는 이야기였고 보고나서 찝찝하다.,4
아이디어는 좋으나.. 처음부터 끝까지 괴롭게 지루하던데.. 평점 좋다고 이 영화 보자고 친구 끌고간게 미안할뿐.. 남들은 왜 재밌다고 하는지 신기하네요,2
재밌다고해서 봤는데. 진짜 찝찝한영화네요. 불륜천국,2
두시간동안 술자리에서 친구들이 싸우고 신경전 벌이는걸 지켜보는 기분이다.가끔씩 웃음포인트라도 없었으면 숨막혀죽을뻔,1
오늘도 알바들이 열일하는중,1
"조진웅이랑 결혼하고싶어진다는 사람은 뭐지ㅋㅋㅋㅋ집안을 말아먹고 싶으시다는 건가요? 전체적으로 동성애, 불륜을 유머로 삼는게 전부인 정말 기분나쁜 영화였습니다^^",1
이게 재밌냐ㅉㅉ어휴. ㅗ,1
돈내고 영화관에서 보기엔 아깝다.  기발한 소재인듯하나  진부하다.. 시간이 지날수록 남는게 없다.,1
공감1도안됨 쓰레기천지 보는내내 지루하고 불편함차라리 보헤미안랩소디를 2번볼걸 ㅜㅜ,1
"재밌게 보긴 핬으나 메시지가 별로임.불륜 옹호, 게이 옹호 ,비밀은 들키지 말자 이건가? ㅉㅉ",1
불륜 미화에 퀴어를 웃음거리로 삼아놓고 마지막엔 그게 누구나 안고가는 비밀이고 남자들 사이에선 의리인 마냥ㅋㅋ 진짜 더럽고 불쾌했습니다 비혼 결심하게 되는 영화네요 아 내 9000원;,1
"정말... 기대하고 가면 후회하는 영화... 블랙코미디라고 느껴지지 않는 풍자같지도 않은 풍자들, 여성을 바라보는 시선, 동성애에 대한 조롱이 한가득... 그걸 풍자하고 싶었다고!! 라고 이제와 말한다해도 영화로서 ...",1
2시간동안 쓰레기통만 들여다 보고 온듯함.,1
정말 재미없네요.평점보고 낙였네요. ㅜㅜ,2
이걸 보라고하다니 12000원내놔!!!알바엄청푼듯...ㅜㅜ,2
이태리 원작을 한국문화처럼 가장해  보여준영화? 그냥 이태리 영화로 상영하지 ㅉㅉ 제발 말도안되는 설정에 헛웃음만 나온다.,1
노잼... 보헤미안 볼걸,1
오바작작하지 ㅡㅡ^^^,1
연기도 흐름도 억지스러워 불편하고 답답ㅋㅋㅋㅋ평점 무엇,1
재미없음  할인해서 둘이 12000원으로 봤는데24000으로 봤음 땅을치고 후회할뻔 솔까 난 돈아까웠음암수살인보다 더 별로,1
뭐가 웃긴지 잘 모르겠고 기분만 불쾌함,1
"한국스러운 수준의 영화. 처음부터 꼰대스러운 대사로 시작, 내내 불편한 내용만. 다들그냥 별생각없이 유해진 코믹 연기만 봣는지ㅋ누구나 비밀은 있다- 라는 재밌는 주제로 고작 막장 불륜 스토리밖에 풀어낼수없었던 아쉬운...",1
"아재들의 대화란 이런 것인가... 아무튼, 인간이란..참... 보는 내내 씁쓸했다. 최소한 사람 대 사람으로 서로에게 못할 짓은 하지 말자..한 커플 때문에 마지막에 불쾌감이 더 더해졌다..",4
연출도 세련되고 카메라 음향 다 좋음 배우들 연기도 찰지고 근데 뭔가 찝찝해서 웃어야 하나 말아야 하나 싶은 부분이 많았다 이게 풍자인지 미화인지 헷갈렸달까 불륜을 눈감아주는 남자들을 비판한건지 의리로 포장한건지 모...,5
글쎄...딱히...몇번 웃긴 했으나,2
